epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,984.914,0.58046,0.40215,0.00535,0.97654,0.9875,0.99416,0.85824,0.47409,0.17714,0.00506,0.000363239,0.000363239,0.000363239
81,996.993,0.57079,0.39595,0.00608,0.97656,0.975,0.99215,0.87313,0.43831,0.19149,0.00479,0.000346736,0.000346736,0.000346736
82,1009.12,0.60233,0.41407,0.00578,0.9859,0.975,0.99237,0.88667,0.40567,0.18307,0.00444,0.000330233,0.000330233,0.000330233
83,1021.26,0.61362,0.43196,0.00587,0.98449,0.97123,0.99208,0.86512,0.43366,0.19394,0.00475,0.000313729,0.000313729,0.000313729
84,1033.14,0.60834,0.43179,0.00565,0.99734,0.96875,0.99229,0.86576,0.43763,0.19425,0.00449,0.000297226,0.000297226,0.000297226
85,1045.15,0.59281,0.42321,0.00521,0.99045,0.9875,0.99361,0.86114,0.4194,0.20003,0.00417,0.000280723,0.000280723,0.000280723
86,1057.39,0.60028,0.40707,0.00582,0.99316,0.98789,0.99406,0.86761,0.41027,0.19615,0.00432,0.00026422,0.00026422,0.00026422
87,1069.33,0.57928,0.40907,0.00489,0.98509,0.9848,0.99323,0.87545,0.39759,0.20793,0.00421,0.000247716,0.000247716,0.000247716
88,1081.58,0.60407,0.44665,0.00502,0.98272,0.94602,0.99183,0.86461,0.43355,0.22034,0.00437,0.000231213,0.000231213,0.000231213
89,1093.67,0.53453,0.38085,0.00511,0.95207,0.97999,0.99182,0.86238,0.43222,0.21139,0.00422,0.00021471,0.00021471,0.00021471
90,1105.63,0.57014,0.40103,0.00474,0.96227,0.93501,0.99022,0.85954,0.42023,0.22782,0.00423,0.000198206,0.000198206,0.000198206
91,1117.56,0.40157,0.2513,0.0039,0.96725,0.9428,0.98739,0.85932,0.42381,0.23421,0.00432,0.000181703,0.000181703,0.000181703
92,1129.46,0.4099,0.25007,0.00401,0.96248,0.9454,0.98825,0.85291,0.4265,0.22546,0.0044,0.0001652,0.0001652,0.0001652
93,1141.29,0.40608,0.25822,0.00373,0.97037,0.93055,0.98681,0.85445,0.40788,0.21233,0.00408,0.000148696,0.000148696,0.000148696
94,1153.24,0.38845,0.25666,0.00361,0.97059,0.94516,0.98728,0.85451,0.41925,0.20974,0.00415,0.000132193,0.000132193,0.000132193
95,1165.08,0.4047,0.26407,0.00386,0.93962,0.96477,0.9871,0.85118,0.42393,0.21453,0.00421,0.00011569,0.00011569,0.00011569
96,1176.9,0.3836,0.24845,0.0035,0.96892,0.96185,0.98824,0.85927,0.41385,0.21075,0.00406,9.91865e-05,9.91865e-05,9.91865e-05
97,1188.71,0.38615,0.25609,0.00366,0.96653,0.9494,0.98868,0.84878,0.40914,0.20355,0.0039,8.26832e-05,8.26832e-05,8.26832e-05
98,1200.63,0.38111,0.2507,0.00365,0.96379,0.92802,0.98567,0.84863,0.41092,0.20781,0.004,6.61799e-05,6.61799e-05,6.61799e-05
99,1212.54,0.3768,0.2821,0.00307,0.97048,0.94876,0.98622,0.84922,0.41799,0.21004,0.00414,4.96766e-05,4.96766e-05,4.96766e-05
100,1224.21,0.3801,0.31352,0.00361,0.93063,0.95852,0.98528,0.85779,0.41524,0.21258,0.00414,3.31733e-05,3.31733e-05,3.31733e-05
